,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6001,-73.9662,71.55,95,100,4.68,US,2021-07-01 04:20:37
1,Castro,-24.7911,-50.0119,35.64,89,0,3.06,BR,2021-07-01 04:23:07
2,Busselton,-33.65,115.3333,59.04,65,32,7.38,AU,2021-07-01 04:23:07
3,Pierre,44.3683,-100.351,76.12,71,1,6.91,US,2021-07-01 04:23:07
4,Guilin,25.2819,110.2864,78.91,87,100,6.51,CN,2021-07-01 04:20:11
5,New Norfolk,-42.7826,147.0587,62.1,79,84,1.54,AU,2021-07-01 04:23:08
6,Port Hardy,50.6996,-127.4199,55.58,94,90,8.05,CA,2021-07-01 04:23:09
7,Iqaluit,63.7506,-68.5145,46.13,75,75,5.99,CA,2021-07-01 04:23:09
8,Antalaha,-14.9003,50.2788,70.66,77,100,7.05,MG,2021-07-01 04:23:09
9,Cidreira,-30.1811,-50.2056,52.47,85,97,5.53,BR,2021-07-01 04:23:10
10,Bilma,18.6853,12.9164,87.17,13,3,8.32,NE,2021-07-01 04:23:10
11,Kiama,-34.6833,150.8667,65.37,76,99,3.0,AU,2021-07-01 04:23:11
12,Atuona,-9.8,-139.0333,78.93,78,80,23.55,PF,2021-07-01 04:23:11
13,Mackay,-21.15,149.2,75.69,73,18,9.8,AU,2021-07-01 04:23:11
14,Grindavik,63.8424,-22.4338,51.75,100,90,13.8,IS,2021-07-01 04:23:12
15,Rikitea,-23.1203,-134.9692,74.89,75,35,19.6,PF,2021-07-01 04:23:12
16,San Patricio,28.017,-97.5169,84.06,81,94,6.46,US,2021-07-01 04:23:13
17,Ruska Poliana,49.417,31.9201,69.35,82,40,4.36,UA,2021-07-01 04:23:13
18,Zavitinsk,50.1167,129.45,68.41,63,66,9.01,RU,2021-07-01 04:23:14
19,Mataura,-46.1927,168.8643,48.47,89,75,0.49,NZ,2021-07-01 04:23:14
20,Bambous Virieux,-20.3428,57.7575,74.21,68,40,13.8,MU,2021-07-01 04:23:14
21,Ishinomaki,38.4167,141.3,71.6,88,100,14.43,JP,2021-07-01 04:23:15
22,Yunhe,34.0833,119.7167,91.08,41,28,9.73,CN,2021-07-01 04:23:15
23,Bredasdorp,-34.5322,20.0403,56.52,72,26,16.11,ZA,2021-07-01 04:23:16
24,Arraial do Cabo,-22.9661,-42.0278,65.23,64,98,19.17,BR,2021-07-01 04:23:16
